Word	Length	LemmaFreq	WordFreq	zipfFreq	Syllables	SyllLength
μουντάρω	8	0	0	1.327	μου-ντά-ρω	3
μουντιάλ	8	10.1	10.1	4.005	μου-ντι-άλ	3
μουράγιο	8	0.2	0.1	2.106	μου-ρά-γιο	3
μουσακάς	8	0.7	0.1	2.106	μου-σα-κάς	3
μουσαμάς	8	1	0.1	2.106	μου-σα-μάς	3
μουσάτος	8	0.1	0	1.327	μου-σά-τος	3
μουσικός	8	337.4	8	3.904	μου-σι-κός	3
μουσίτσα	8	0.2	0.1	2.106	μου-σί-τσα	3
μούσκεμα	8	1.2	1.2	3.083	μού-σκε-μα	3
μουσκέτο	8	0.1	0.1	2.106	μου-σκέ-το	3
μουσκεύω	8	2.4	0	1.327	μου-σκεύ-ω	3
μουσκίδι	8	0	0	1.327	μου-σκί-δι	3
μουσούδα	8	0.3	0.3	2.504	μου-σού-δα	3
μουσούδι	8	0.1	0.1	2.106	μου-σού-δι	3
μουστάκι	8	3.3	2	3.305	μου-στά-κι	3
μουσώνας	8	0.2	0	1.327	μου-σώ-νας	3
μουτρώνω	8	0.7	0	1.327	μου-τρώ-νω	3
μοχθηρία	8	0.4	0.3	2.504	μο-χθη-ρί-α	4
μοχθηρός	8	1	0.2	2.327	μο-χθη-ρός	3
μπαγάσας	8	0.4	0.1	2.106	μπα-γά-σας	3
μπαγδατί	8	0	0	1.327	μπα-γδα-τί	3
μπαγκέτα	8	0.7	0.6	2.79	μπα-γκέ-τα	3
μπαίγνιο	8	0	0	1.327	μπαί-γνι-ο	3
μπαϊράκι	8	0.5	0.4	2.628	μπα-ϊ-ρά-κι	4
μπαϊράμι	8	0.1	0.1	2.106	μπα-ϊ-ρά-μι	4
μπακάλης	8	2.4	1.1	3.052	μπα-κά-λης	3
μπακαράς	8	0.1	0	1.327	μπα-κα-ράς	3
μπακούρι	8	0	0	1.327	μπα-κού-ρι	3
μπαλάντα	8	3.2	1.3	3.12	μπα-λά-ντα	3
μπαλάσκα	8	0.7	0.4	2.628	μπα-λά-σκα	3
μπαλκόνι	8	9.9	6	3.779	μπαλ-κό-νι	3
μπαμπάκι	8	0.9	0.7	2.859	μπα-μπά-κι	3
μπανανιά	8	0.2	0	1.327	μπα-να-νιά	3
μπανιέρα	8	1.2	1	3.009	μπα-νιέ-ρα	3
μπανιερό	8	0.1	0	1.327	μπα-νιε-ρό	3
μπάνικος	8	0.1	0	1.327	μπά-νι-κος	3
μπαρκάρω	8	0.9	0.1	2.106	μπαρ-κά-ρω	3
μπάρμπας	8	3	0.3	2.504	μπάρ-μπας	2
μπαρούτη	8	0.4	0.1	2.106	μπα-ρού-τη	3
μπαρούτι	8	1.9	1.6	3.208	μπα-ρού-τι	3
μπαρούφα	8	0.1	0	1.327	μπα-ρού-φα	3
μπασκέτα	8	0.3	0.1	2.106	μπα-σκέ-τα	3
μπατανία	8	0.2	0.1	2.106	μπα-τα-νί-α	4
μπαταξής	8	0.2	0.1	2.106	μπα-τα-ξής	3
μπαταριά	8	1	0.1	2.106	μπα-τα-ριά	3
μπαταρία	8	8.1	2.9	3.464	μπα-τα-ρί-α	4
μπατζάκι	8	0.7	0.1	2.106	μπα-τζά-κι	3
μπατίρης	8	0	0	1.327	μπα-τί-ρης	3
μπατσίζω	8	0.1	0	1.327	μπα-τσί-ζω	3
μπαφιάζω	8	0.2	0	1.327	μπα-φιά-ζω	3
μπαχτσές	8	0.2	0.1	2.106	μπα-χτσές	2
μπεγλέρι	8	0	0	1.327	μπε-γλέ-ρι	3
μπεκάτσα	8	0.2	0	1.327	μπε-κά-τσα	3
μπελαλού	8	0	0	1.327	μπε-λα-λού	3
μπεμπέκα	8	0.1	0	1.327	μπε-μπέ-κα	3
μπέρδεμα	8	2.4	1.7	3.236	μπέρ-δε-μα	3
μπερδεύω	8	19.8	0.1	2.106	μπερ-δεύ-ω	3
μπερλίνα	8	0.1	0.1	2.106	μπερ-λί-να	3
μπερντές	8	0.4	0.1	2.106	μπερ-ντές	2
μπεσαλής	8	0.1	0.1	2.106	μπε-σα-λής	3
μπιενάλε	8	5.4	5.4	3.734	μπι-ε-νά-λε	4
μπιζελιά	8	0	0	1.327	μπι-ζε-λιά	3
μπιλιέτο	8	0.4	0.3	2.504	μπι-λιέ-το	3
μπιμπελό	8	0.3	0.3	2.504	μπι-μπε-λό	3
μπιμπερό	8	0.2	0.2	2.327	μπι-μπε-ρό	3
μπιμπίκι	8	0.1	0	1.327	μπι-μπί-κι	3
μπιμπίλα	8	0.1	0.1	2.106	μπι-μπί-λα	3
μπιραρία	8	0.7	0.4	2.628	μπι-ρα-ρί-α	4
μπιρίμπα	8	0.2	0.2	2.327	μπι-ρί-μπα	3
μπισκότο	8	2.5	0.1	2.106	μπι-σκό-το	3
μπιστόλι	8	0.1	0	1.327	μπι-στό-λι	3
μπιφτέκι	8	0.4	0.1	2.106	μπι-φτέ-κι	3
μπλαβίζω	8	0.1	0	1.327	μπλα-βί-ζω	3
μπλάστρι	8	0	0	1.327	μπλά-στρι	2
μπλέντερ	8	0.2	0.2	2.327	μπλέ-ντερ	2
μπλέξιμο	8	1.4	0.6	2.79	μπλέ-ξι-μο	3
μπλοκάρω	8	13.9	0	1.327	μπλο-κά-ρω	3
μπλοφάρω	8	0.7	0.1	2.106	μπλο-φά-ρω	3
μπολιάζω	8	1.9	0	1.327	μπο-λιά-ζω	3
μπόλικος	8	4	0.1	2.106	μπό-λι-κος	3
μπομπίνα	8	0.3	0.1	2.106	μπο-μπί-να	3
μπομπότα	8	0.2	0.2	2.327	μπο-μπό-τα	3
μποναμάς	8	0.5	0.2	2.327	μπο-να-μάς	3
μπορετός	8	0.2	0	1.327	μπο-ρε-τός	3
μπόσικος	8	0.3	0	1.327	μπό-σι-κος	3
μποστάνι	8	0.3	0.2	2.327	μπο-στά-νι	3
μποτίλια	8	0.3	0.1	2.106	μπο-τί-λια	3
μπουγάδα	8	1	0.6	2.79	μπου-γά-δα	3
μπουγάζι	8	0.1	0.1	2.106	μπου-γά-ζι	3
μπουγέλο	8	0.4	0.2	2.327	μπου-γέ-λο	3
μπουκάλι	8	10.7	5.4	3.734	μπου-κά-λι	3
μπουκάρω	8	1.4	0	1.327	μπου-κά-ρω	3
μπουκέτο	8	2.1	1.6	3.208	μπου-κέ-το	3
μπούκωμα	8	0.3	0.2	2.327	μπού-κω-μα	3
μπουκώνω	8	1.6	0	1.327	μπου-κώ-νω	3
μπουλόνι	8	0.2	0	1.327	μπου-λό-νι	3
μπουμπού	8	0	0	1.327	μπου-μπού	2
μπουρέκι	8	0.1	0	1.327	μπου-ρέ-κι	3
μπουρίνι	8	0.4	0.3	2.504	μπου-ρί-νι	3
μπούρτζι	8	0.3	0.3	2.504	μπούρ-τζι	2
μπούστος	8	0.6	0	1.327	μπού-στος	2
μπριγιάν	8	0.1	0.1	2.106	μπρι-γιάν	2
μπριζόλα	8	0.6	0.3	2.504	μπρι-ζό-λα	3
μπρικέτα	8	0.1	0	1.327	μπρι-κέ-τα	3
μπριόζος	8	0.1	0	1.327	μπρι-ό-ζος	3
μπρόκολο	8	0.4	0.1	2.106	μπρό-κο-λο	3
μυγδαλιά	8	0.1	0	1.327	μυ-γδα-λιά	3
μυδράλιο	8	0.3	0.2	2.327	μυ-δρά-λι-ο	4
μυελικός	8	0.3	0	1.327	μυ-ε-λι-κός	4
μυθοποιώ	8	1.2	0	1.327	μυ-θο-ποι-ώ	4
μυκηθμός	8	0	0	1.327	μυ-κηθ-μός	3
μυξιάρης	8	0.1	0	1.327	μυ-ξιά-ρης	3
μυρμήγκι	8	2.1	0.6	2.79	μυρ-μή-γκι	3
μυρουδιά	8	1.1	0.9	2.961	μυ-ρου-διά	3
μυρωδικό	8	0.2	0	1.327	μυ-ρω-δι-κό	4
μυστήριο	8	23	13.6	4.134	μυ-στή-ρι-ο	4
μυστικός	8	82.3	1.9	3.282	μυ-στι-κός	3
μυωπικός	8	0.9	0	1.327	μυ-ω-πι-κός	4
μωσαϊκός	8	4.7	0	1.327	μω-σα-ϊ-κός	4
ναζιάρης	8	0.2	0	1.327	να-ζιά-ρης	3
ναζισμός	8	3.7	0.3	2.504	να-ζι-σμός	3
ναζιστής	8	0.5	0.1	2.106	να-ζι-στής	3
νανισμός	8	0.3	0.1	2.106	να-νι-σμός	3
ναοδομία	8	0.3	0.1	2.106	να-ο-δο-μί-α	5
ναργιλές	8	0.2	0	1.327	ναρ-γι-λές	3
νάρθηκας	8	1.3	0.2	2.327	νάρ-θη-κας	3
νατοϊκός	8	35.9	0.7	2.859	να-το-ϊ-κός	4
ναύαρχος	8	4.4	2.2	3.344	ναύ-αρ-χος	3
ναυλωτής	8	0.4	0.1	2.106	ναυ-λω-τής	3
ναυμαχία	8	2.1	1.6	3.208	ναυ-μα-χί-α	4
ναυμάχος	8	0	0	1.327	ναυ-μά-χος	3
ναυπηγός	8	0.8	0.3	2.504	ναυ-πη-γός	3
ναυτικός	8	71.7	2.6	3.417	ναυ-τι-κός	3
ναυτιλία	8	49	12.6	4.101	ναυ-τι-λί-α	4
ναυτίλος	8	0.6	0.3	2.504	ναυ-τί-λος	3
νεανικός	8	13.6	0.4	2.628	νε-α-νι-κός	4
νεγκλιζέ	8	0	0	1.327	νε-γκλι-ζέ	3
νέγρικος	8	0.2	0	1.327	νέ-γρι-κος	3
νεκρικός	8	1.6	0	1.327	νε-κρι-κός	3
νεκροψία	8	3.3	2.6	3.417	νε-κρο-ψί-α	4
νεογιλός	8	0	0	1.327	νε-ο-γι-λός	4
νεόκοπος	8	1.8	0.3	2.504	νε-ό-κο-πος	4
νεολαίος	8	1.5	0	1.327	νε-ο-λαί-ος	4
νεοπαγής	8	0.6	0.1	2.106	νε-ο-πα-γής	4
νεράντζι	8	0.4	0.1	2.106	νε-ρά-ντζι	3
νερόκοτα	8	0.1	0	1.327	νε-ρό-κο-τα	4
νερουλάς	8	0.1	0	1.327	νε-ρου-λάς	3
νερουλός	8	0.2	0.1	2.106	νε-ρου-λός	3
νεροφίδα	8	0	0	1.327	νε-ρο-φί-δα	4
νερόφιδο	8	0.4	0.2	2.327	νε-ρό-φι-δο	4
νετρόνιο	8	2.6	0.1	2.106	νε-τρό-νι-ο	4
νευριάζω	8	1.5	0.1	2.106	νευ-ρι-ά-ζω	4
νευρικός	8	20.8	1.4	3.154	νευ-ρι-κός	3
νευρώδης	8	0.9	0.4	2.628	νευ-ρώ-δης	3
νευρώνας	8	3.6	0.3	2.504	νευ-ρώ-νας	3
νεφέλωμα	8	1.1	0.5	2.725	νε-φέ-λω-μα	4
νεφρικός	8	3.3	0	1.327	νε-φρι-κός	3
νεφρίτης	8	0	0	1.327	νε-φρί-της	3
νεωκόρος	8	0.6	0.2	2.327	νε-ω-κό-ρος	4
νηκτικός	8	0	0	1.327	νη-κτι-κός	3
νηολόγιο	8	1.6	0.8	2.919	νη-ο-λό-γι-ο	5
νηοπομπή	8	0.2	0.1	2.106	νη-ο-πο-μπή	4
νηπιακός	8	1.4	0	1.327	νη-πι-α-κός	4
νησιώτης	8	4.6	0.5	2.725	νη-σιώ-της	3
νηστικός	8	1.5	0.4	2.628	νη-στι-κός	3
νηφάλιος	8	5.3	1.1	3.052	νη-φά-λι-ος	4
νιάνιαρο	8	0.1	0.1	2.106	νιά-νια-ρο	3
νικήτρια	8	5.9	4.5	3.656	νι-κή-τρι-α	4
νικηφόρα	8	12.7	3.1	3.495	νι-κη-φό-ρα	4
νικοτίνη	8	2.1	1.4	3.154	νι-κο-τί-νη	4
νιπτήρας	8	0.6	0.1	2.106	νι-πτή-ρας	3
νισεστές	8	0	0	1.327	νι-σε-στές	3
νιτερέσο	8	0	0	1.327	νι-τε-ρέ-σο	4
νιτρικός	8	1.6	0	1.327	νι-τρι-κός	3
νοητικός	8	7.4	0.1	2.106	νο-η-τι-κός	4
νοικάρης	8	0.3	0.1	2.106	νοι-κά-ρης	3
νοικιάζω	8	12	0.1	2.106	νοι-κιά-ζω	3
νομάρχης	8	45.1	16.7	4.223	νο-μάρ-χης	3
νομαρχία	8	45.4	18.1	4.258	νο-μαρ-χί-α	4
νομοθετώ	8	17.5	0.2	2.327	νο-μο-θε-τώ	4
νοσηλεία	8	9.6	4.3	3.635	νο-ση-λεί-α	4
νοσηλεύω	8	11.2	0	1.327	νο-ση-λεύ-ω	4
νοσοκόμα	8	7.3	4	3.604	νο-σο-κό-μα	4
νοσταλγώ	8	3.8	0.4	2.628	νο-σταλ-γώ	3
νοστιμιά	8	0.5	0.2	2.327	νο-στι-μιά	3
νόστιμος	8	2.6	0.1	2.106	νό-στι-μος	3
νουθεσία	8	0.9	0.1	2.106	νου-θε-σί-α	4
νουνεχής	8	0.4	0.2	2.327	νου-νε-χής	3
νταηλίκι	8	0.6	0.3	2.504	ντα-η-λί-κι	4
νταμπλάς	8	0.1	0.1	2.106	ντα-μπλάς	2
νταντέλα	8	0.1	0	1.327	ντα-ντέ-λα	3
ντάντεμα	8	0	0	1.327	ντά-ντε-μα	3
νταντεύω	8	0.1	0	1.327	ντα-ντεύ-ω	3
ντεκολτέ	8	0.4	0.4	2.628	ντε-κολ-τέ	3
ντελάλης	8	0.1	0.1	2.106	ντε-λά-λης	3
ντελίριο	8	0.6	0.6	2.79	ντε-λί-ρι-ο	4
ντεμοντέ	8	0.5	0.5	2.725	ντε-μο-ντέ	3
ντενεκές	8	0.1	0	1.327	ντε-νε-κές	3
ντεφορμέ	8	0.8	0.8	2.919	ντε-φορ-μέ	3
ντοβλέτι	8	0	0	1.327	ντο-βλέ-τι	3
ντοκτορά	8	0.5	0.5	2.725	ντο-κτο-ρά	3
ντοματιά	8	0.2	0	1.327	ντο-μα-τιά	3
ντόμπρος	8	0.5	0.2	2.327	ντό-μπρος	2
ντουβάρι	8	0.7	0.2	2.327	ντου-βά-ρι	3
ντουζίνα	8	1.6	1.3	3.12	ντου-ζί-να	3
ντουλάπα	8	2.9	2.1	3.327	ντου-λά-πα	3
ντουλάπι	8	3.3	2	3.305	ντου-λά-πι	3
ντουμάνι	8	0.2	0.1	2.106	ντου-μά-νι	3
ντουνιάς	8	0.4	0.1	2.106	ντου-νιάς	2
ντουφέκι	8	0.6	0.3	2.504	ντου-φέ-κι	3
ντράβαλα	8	0	0	1.327	ντρά-βα-λα	3
ντρεσάρω	8	0.1	0	1.327	ντρε-σά-ρω	3
νυμφίδιο	8	0.2	0.1	2.106	νυμ-φί-δι-ο	4
νυμφώνας	8	0.1	0	1.327	νυμ-φώ-νας	3
νυσταλέα	8	0.3	0.2	2.327	νυ-στα-λέ-α	4
νυστεριά	8	0	0	1.327	νυ-στε-ριά	3
νυχτικιά	8	0.2	0.2	2.327	νυ-χτι-κιά	3
νωτιαίος	8	1.9	0.3	2.504	νω-τι-αί-ος	4
νωχέλεια	8	0.4	0.3	2.504	νω-χέ-λει-α	4
ξάγναντο	8	0.1	0	1.327	ξά-γνα-ντο	3
ξάδερφος	8	1.7	0.3	2.504	ξά-δερ-φος	3
ξαναβάζω	8	3.2	0	1.327	ξα-να-βά-ζω	4
ξαναδίνω	8	3.8	0	1.327	ξα-να-δί-νω	4
ξανακαλώ	8	0.6	0	1.327	ξα-να-κα-λώ	4
ξανακάνω	8	6.2	0.8	2.919	ξα-να-κά-νω	4
ξανακούω	8	3.3	0.1	2.106	ξα-να-κού-ω	4
ξαναμιλώ	8	2	0	1.327	ξα-να-μι-λώ	4
ξαναπατώ	8	1.3	0	1.327	ξα-να-πα-τώ	4
ξαναπίνω	8	0.2	0	1.327	ξα-να-πί-νω	4
ξαναφορώ	8	0.9	0	1.327	ξα-να-φο-ρώ	4
ξανθωπός	8	0	0	1.327	ξαν-θω-πός	3
ξάνοιγμα	8	0.1	0	1.327	ξά-νοιγ-μα	3
ξαπλωτός	8	0.1	0	1.327	ξα-πλω-τός	3
ξασπρίζω	8	0.1	0	1.327	ξα-σπρί-ζω	3
ξαστεριά	8	0.3	0.2	2.327	ξα-στε-ριά	3
ξάστερος	8	0.8	0.1	2.106	ξά-στε-ρος	3
ξαφνιάζω	8	9.9	0	1.327	ξαφ-νιά-ζω	3
ξαφνικός	8	70.1	0.9	2.961	ξαφ-νι-κός	3
ξάφνισμα	8	0	0	1.327	ξάφ-νι-σμα	3
ξάφρισμα	8	0	0	1.327	ξά-φρι-σμα	3
ξεβγαίνω	8	0.1	0	1.327	ξε-βγαί-νω	3
ξέβγαλμα	8	0	0	1.327	ξέ-βγαλ-μα	3
ξεβίδωμα	8	0	0	1.327	ξε-βί-δω-μα	4
ξεβιδώνω	8	0.4	0	1.327	ξε-βι-δώ-νω	4
ξεγδέρνω	8	0	0	1.327	ξε-γδέρ-νω	3
ξεγυρίζω	8	0.4	0	1.327	ξε-γυ-ρί-ζω	4
ξεζαλίζω	8	0	0	1.327	ξε-ζα-λί-ζω	4
ξεθολώνω	8	0	0	1.327	ξε-θο-λώ-νω	4
ξεκίνημα	8	27.5	26.8	4.428	ξε-κί-νη-μα	4
ξεκολλάω	8	5	0	1.327	ξε-κολ-λά-ω	4
ξεκούτης	8	0	0	1.327	ξε-κού-της	3
ξεκρεμάω	8	0.5	0	1.327	ξε-κρε-μά-ω	4
ξεκωλώνω	8	0	0	1.327	ξε-κω-λώ-νω	4
ξελιγώνω	8	0.2	0	1.327	ξε-λι-γώ-νω	4
ξέμακρος	8	0	0	1.327	ξέ-μα-κρος	3
ξεμπλέκω	8	0.9	0	1.327	ξε-μπλέ-κω	3
ξεμυτίζω	8	1	0	1.327	ξε-μυ-τί-ζω	4
ξενάγηση	8	4.4	3.4	3.534	ξε-νά-γη-ση	4
ξενερίζω	8	0.1	0	1.327	ξε-νε-ρί-ζω	4
ξενερώνω	8	0.3	0	1.327	ξε-νε-ρώ-νω	4
ξενισμός	8	0.1	0	1.327	ξε-νι-σμός	3
ξενιστής	8	0.5	0.1	2.106	ξε-νι-στής	3
ξενοδόχα	8	2.9	0	1.327	ξε-νο-δό-χα	4
ξενοιάζω	8	0.2	0	1.327	ξε-νοιά-ζω	3
ξενύχτης	8	0.4	0.1	2.106	ξε-νύ-χτης	3
ξεπάγωμα	8	0.4	0.3	2.504	ξε-πά-γω-μα	4
ξεπαγώνω	8	0.4	0	1.327	ξε-πα-γώ-νω	4
ξεπατώνω	8	0.4	0	1.327	ξε-πα-τώ-νω	4
ξεπεζεύω	8	0.2	0	1.327	ξε-πε-ζεύ-ω	4
ξεπεσμός	8	0.9	0.2	2.327	ξε-πε-σμός	3
ξέπλεκος	8	0.1	0	1.327	ξέ-πλε-κος	3
ξεπουλάω	8	5	0	1.327	ξε-που-λά-ω	4
ξερίζωμα	8	0.6	0.4	2.628	ξε-ρί-ζω-μα	4
ξεριζώνω	8	5.8	0	1.327	ξε-ρι-ζώ-νω	4
ξεροβήχω	8	0.4	0	1.327	ξε-ρο-βή-χω	4
ξεροβόρι	8	0.1	0.1	2.106	ξε-ρο-βό-ρι	4
ξερονήσι	8	1	0.4	2.628	ξε-ρο-νή-σι	4
ξεροψήνω	8	0.4	0	1.327	ξε-ρο-ψή-νω	4
ξεσαλώνω	8	0.6	0	1.327	ξε-σα-λώ-νω	4
ξέσαρκος	8	0	0	1.327	ξέ-σαρ-κος	3
ξεσελώνω	8	0	0	1.327	ξε-σε-λώ-νω	4
ξεσήκωμα	8	0.2	0.2	2.327	ξε-σή-κω-μα	4
ξεσηκώνω	8	16.1	0	1.327	ξε-ση-κώ-νω	4
ξέσκεπος	8	0.2	0	1.327	ξέ-σκε-πος	3
ξέσκισμα	8	0.1	0.1	2.106	ξέ-σκι-σμα	3
ξέσπασμα	8	8.2	6.5	3.815	ξέ-σπα-σμα	3
ξέστηθος	8	0	0	1.327	ξέ-στη-θος	3
ξεστρώνω	8	0.1	0	1.327	ξε-στρώ-νω	3
ξεσφίγγω	8	0.3	0	1.327	ξε-σφίγ-γω	3
ξετινάζω	8	0.9	0	1.327	ξε-τι-νά-ζω	4
ξετυλίγω	8	5.8	0	1.327	ξε-τυ-λί-γω	4
ξέφραγος	8	1.6	0	1.327	ξέ-φρα-γος	3
ξέφρενος	8	4.6	0.3	2.504	ξέ-φρε-νος	3
ξεφτίλας	8	1.2	0.2	2.327	ξε-φτί-λας	3
ξέφτισμα	8	0.1	0.1	2.106	ξέ-φτι-σμα	3
ξεφωνητό	8	0.9	0.3	2.504	ξε-φω-νη-τό	4
ξεφωνίζω	8	2.4	0	1.327	ξε-φω-νί-ζω	4
ξέχειλος	8	0.2	0	1.327	ξέ-χει-λος	3
ξεχρεώνω	8	1.2	0	1.327	ξε-χρε-ώ-νω	4
ξεχωρίζω	8	43.9	0.9	2.961	ξε-χω-ρί-ζω	4
ξεψαρώνω	8	0.1	0	1.327	ξε-ψα-ρώ-νω	4
ξημέρωμα	8	21.4	2.1	3.327	ξη-μέ-ρω-μα	4
ξημερώνω	8	6.4	0	1.327	ξη-με-ρώ-νω	4
ξηρότητα	8	0.2	0.2	2.327	ξη-ρό-τη-τα	4
ξινόγαλα	8	0.1	0.1	2.106	ξι-νό-γα-λα	4
ξινόγαλο	8	0.2	0.1	2.106	ξι-νό-γα-λο	4
ξινόμηλο	8	0.1	0	1.327	ξι-νό-μη-λο	4
ξιφασκία	8	0.7	0.3	2.504	ξι-φα-σκί-α	4
ξιφομαχώ	8	0	0	1.327	ξι-φο-μα-χώ	4
ξιφουλκώ	8	1	0	1.327	ξι-φουλ-κώ	3
ξυλάδικο	8	0	0	1.327	ξυ-λά-δι-κο	4
ξυλένιος	8	19.4	0	1.327	ξυ-λέ-νιος	3
ξυλόβιδα	8	0	0	1.327	ξυ-λό-βι-δα	4
ξυλοκοπώ	8	2.6	0	1.327	ξυ-λο-κο-πώ	4
ξυλόκοτα	8	0	0	1.327	ξυ-λό-κο-τα	4
ξυλόφωνο	8	0.1	0.1	2.106	ξυ-λό-φω-νο	4
ξυπνητός	8	0.1	0	1.327	ξυ-πνη-τός	3
ξυραφάκι	8	0.2	0.2	2.327	ξυ-ρα-φά-κι	4
ξυραφίζω	8	0	0	1.327	ξυ-ρα-φί-ζω	4
ξώπετσος	8	0.4	0	1.327	ξώ-πε-τσος	3
οδαλίσκη	8	0.2	0.1	2.106	ο-δα-λί-σκη	4
οδηγητής	8	1.1	0.3	2.504	ο-δη-γη-τής	4
οδοιπορώ	8	0.1	0	1.327	ο-δοι-πο-ρώ	4
οδομαχία	8	0.4	0	1.327	ο-δο-μα-χί-α	5
οδοντίνη	8	0.4	0.3	2.504	ο-δο-ντί-νη	4
οδόντωση	8	0.3	0.1	2.106	ο-δό-ντω-ση	4
οδοποιία	8	5.8	1.3	3.12	ο-δο-ποι-ί-α	5
οδυνηρός	8	15.1	0.2	2.327	ο-δυ-νη-ρός	4
οδύρομαι	8	0.5	0	1.327	ο-δύ-ρο-μαι	4
οδυσσέας	8	19.5	9.5	3.979	ο-δυσ-σέ-ας	4
οδύσσεια	8	6.2	4.9	3.691	ο-δύσ-σει-α	4
οικείωση	8	0.1	0.1	2.106	οι-κεί-ω-ση	4
οικιακός	8	14.1	0.2	2.327	οι-κι-α-κός	4
οικισμός	8	44.2	5	3.7	οι-κι-σμός	3
οικιστής	8	1.5	0.4	2.628	οι-κι-στής	3
οικοδομή	8	22.1	6	3.779	οι-κο-δο-μή	4
οικοδομώ	8	14	0	1.327	οι-κο-δο-μώ	4
οικονόμα	8	0	0	1.327	οι-κο-νό-μα	4
οικονομώ	8	1.1	0	1.327	οι-κο-νο-μώ	4
οικόπεδο	8	30.3	10.7	4.03	οι-κό-πε-δο	4
οικόσημο	8	0.8	0.3	2.504	οι-κό-ση-μο	4
οινοχόος	8	0.3	0	1.327	οι-νο-χό-ος	4
οκταετής	8	1.5	0.4	2.628	ο-κτα-ε-τής	4
οκταετία	8	2.7	1.8	3.262	ο-κτα-ε-τί-α	5
οκτάωρος	8	2.4	0	1.327	ο-κτά-ω-ρος	4
οκτώηχος	8	0	0	1.327	ο-κτώ-η-χος	4
ολάκερος	8	1.6	0.1	2.106	ο-λά-κε-ρος	4
ολέθριος	8	5.7	0.2	2.327	ο-λέ-θρι-ος	4
ολημερίς	8	0.7	0.6	2.79	ο-λη-με-ρίς	4
ολιγωρία	8	4.9	3.7	3.57	ο-λι-γω-ρί-α	5
ολίσθημα	8	2	1.4	3.154	ο-λί-σθη-μα	4
ολίσθηση	8	1.2	0.6	2.79	ο-λί-σθη-ση	4
ολόιδιος	8	0.6	0.1	2.106	ο-λόι-δι-ος	4
ολόισιος	8	0.2	0	1.327	ο-λόι-σι-ος	4
ολόσωμος	8	1.5	0.1	2.106	ο-λό-σω-μος	4
ολοταχώς	8	1.9	1.9	3.282	ο-λο-τα-χώς	4
ολόφωτος	8	0.4	0	1.327	ο-λό-φω-τος	4
ολόχαρος	8	0.1	0	1.327	ο-λό-χα-ρος	4
ολόψυχος	8	1.3	0	1.327	ο-λό-ψυ-χος	4
ολύμπιος	8	23.7	0.2	2.327	ο-λύ-μπι-ος	4
ομαδικός	8	24.5	0.5	2.725	ο-μα-δι-κός	4
ομήλικος	8	0.1	0	1.327	ο-μή-λι-κος	4
ομηρικός	8	3.6	0.3	2.504	ο-μη-ρι-κός	4
ομιλητής	8	31.4	6.8	3.834	ο-μι-λη-τής	4
ομογενής	8	18	1.6	3.208	ο-μο-γε-νής	4
ομόδοξος	8	0.5	0	1.327	ο-μό-δο-ξος	4
ομοεθνής	8	2.7	0	1.327	ο-μο-ε-θνής	4
ομοειδής	8	4	0	1.327	ο-μο-ει-δής	4
ομοθυμία	8	0.3	0.2	2.327	ο-μο-θυ-μί-α	5
ομόθυμος	8	1.2	0	1.327	ο-μό-θυ-μος	4
ομολογία	8	18.7	12.3	4.09	ο-μο-λο-γί-α	5
ομόλογος	8	59.4	0.2	2.327	ο-μό-λο-γος	4
ομορφάδα	8	0	0	1.327	ο-μορ-φά-δα	4
ομοταξία	8	0	0	1.327	ο-μο-τα-ξί-α	5
ομότιμος	8	2.9	0.9	2.961	ο-μό-τι-μος	4
ομοφρονώ	8	0	0	1.327	ο-μο-φρο-νώ	4
ομοφυλία	8	0	0	1.327	ο-μο-φυ-λί-α	5
ομόφυλος	8	0.3	0	1.327	ο-μό-φυ-λος	4
ομοφωνία	8	9.4	7.5	3.876	ο-μο-φω-νί-α	5
ομόφωνος	8	29.4	0	1.327	ο-μό-φω-νος	4
ομοψυχία	8	2.9	2	3.305	ο-μο-ψυ-χί-α	5
ομόψυχος	8	0.1	0	1.327	ο-μό-ψυ-χος	4
ομπρελάς	8	0	0	1.327	ο-μπρε-λάς	3
ομφάλιος	8	1.7	0.6	2.79	ομ-φά-λι-ος	4
ομωνυμία	8	0	0	1.327	ο-μω-νυ-μί-α	5
ομώνυμος	8	15.9	0.3	2.504	ο-μώ-νυ-μος	4
ονείρωξη	8	0.1	0	1.327	ο-νεί-ρω-ξη	4
ονομασία	8	30.7	21.2	4.327	ο-νο-μα-σί-α	5
οντότητα	8	14.3	7.2	3.859	ο-ντό-τη-τα	4
οξαλικός	8	0.1	0	1.327	ο-ξα-λι-κός	4
οξειδάση	8	1	0.9	2.961	ο-ξει-δά-ση	4
οξείδωση	8	3.7	2.4	3.384	ο-ξεί-δω-ση	4
οξύθυμος	8	0.5	0.2	2.327	ο-ξύ-θυ-μος	4
οξύμωρος	8	2.6	0	1.327	ο-ξύ-μω-ρος	4
οξύτονος	8	0.1	0	1.327	ο-ξύ-το-νος	4
οπερατέρ	8	0.8	0.8	2.919	ο-πε-ρα-τέρ	4
οπιούχος	8	0.4	0	1.327	ο-πι-ού-χος	4
οπίσθιος	8	2.9	0	1.327	ο-πί-σθι-ος	4
οπληφόρο	8	0	0	1.327	ο-πλη-φό-ρο	4
οπλισμός	8	7.1	0.9	2.961	ο-πλι-σμός	3
